DX,Description,CMS-HCC PACE/ESRD Model Category V21,CMSHCC,"RxHCC 
Model Category V05 ","CMS-HCC 
PACE/ESRD Model 
for 2017 
Payment Year","CMS-HCC Model 
for 2017 
Payment Year","RxHCC Model 
for 2017 
Payment Year"
A0103,Typhoid pneumonia,115,115,,Yes,Yes,No
A0104,Typhoid arthritis,39,39,,Yes,Yes,No
A0105,Typhoid osteomyelitis,39,39,,Yes,Yes,No
A021,Salmonella sepsis,2,2,,Yes,Yes,No
A0222,Salmonella pneumonia,115,115,,Yes,Yes,No
A0223,Salmonella arthritis,39,39,,Yes,Yes,No
A0224,Salmonella osteomyelitis,39,39,,Yes,Yes,No
A065,Amebic lung abscess,115,115,,Yes,Yes,No
A072,Cryptosporidiosis,6,6,5,Yes,Yes,Yes
A202,Pneumonic plague,115,115,,Yes,Yes,No
A207,Septicemic plague,2,2,,Yes,Yes,No
A212,Pulmonary tularemia,115,115,,Yes,Yes,No
A221,Pulmonary anthrax,115,115,,Yes,Yes,No
A227,Anthrax sepsis,2,2,,Yes,Yes,No
A267,Erysipelothrix sepsis,2,2,,Yes,Yes,No
A310,Pulmonary mycobacterial infection,6,6,5,Yes,Yes,Yes
A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),6,6,5,Yes,Yes,Yes
A327,Listerial sepsis,2,2,,Yes,Yes,No
A3681,Diphtheritic cardiomyopathy,85,85,186,Yes,Yes,Yes
A3684,Diphtheritic tubulo-interstitial nephropathy,141,,,Yes,No,No
A391,Waterhouse-Friderichsen syndrome,23,23,41,Yes,Yes,Yes
A392,Acute meningococcemia,2,2,,Yes,Yes,No
A393,Chronic meningococcemia,2,2,,Yes,Yes,No
A394,"Meningococcemia, unspecified",2,2,,Yes,Yes,No
A3983,Meningococcal arthritis,39,39,,Yes,Yes,No
A3984,Postmeningococcal arthritis,39,39,,Yes,Yes,No
A400,"Sepsis due to streptococcus, group A",2,2,,Yes,Yes,No
A401,"Sepsis due to streptococcus, group B",2,2,,Yes,Yes,No
A403,Sepsis due to Streptococcus pneumoniae,2,2,,Yes,Yes,No
A408,Other streptococcal sepsis,2,2,,Yes,Yes,No
A409,"Streptococcal sepsis, unspecified",2,2,,Yes,Yes,No
A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,2,2,,Yes,Yes,No
A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,2,2,,Yes,Yes,No
A411,Sepsis due to other specified staphylococcus,2,2,,Yes,Yes,No
A412,Sepsis due to unspecified staphylococcus,2,2,,Yes,Yes,No
A413,Sepsis due to Hemophilus influenzae,2,2,,Yes,Yes,No
A414,Sepsis due to anaerobes,2,2,,Yes,Yes,No
A4150,"Gram-negative sepsis, unspecified",2,2,,Yes,Yes,No
A4151,Sepsis due to Escherichia coli [E. coli],2,2,,Yes,Yes,No
A4152,Sepsis due to Pseudomonas,2,2,,Yes,Yes,No
A4153,Sepsis due to Serratia,2,2,,Yes,Yes,No
A4159,Other Gram-negative sepsis,2,2,,Yes,Yes,No
A4181,Sepsis due to Enterococcus,2,2,,Yes,Yes,No
A4189,Other specified sepsis,2,2,,Yes,Yes,No
A419,"Sepsis, unspecified organism",2,2,,Yes,Yes,No
A420,Pulmonary actinomycosis,115,115,,Yes,Yes,No
A427,Actinomycotic sepsis,2,2,,Yes,Yes,No
A430,Pulmonary nocardiosis,115,115,,Yes,Yes,No
A480,Gas gangrene,106,106,,Yes,Yes,No
A481,Legionnaires' disease,114,114,,Yes,Yes,No
A483,Toxic shock syndrome,2,2,,Yes,Yes,No
A5055,Late congenital syphilitic arthropathy,39,39,,Yes,Yes,No
A5204,Syphilitic cerebral arteritis,,,206,No,No,Yes
A5440,"Gonococcal infection of musculoskeletal system, unspecified",39,39,,Yes,Yes,No
A5441,Gonococcal spondylopathy,39,39,,Yes,Yes,No
A5442,Gonococcal arthritis,39,39,,Yes,Yes,No
